Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Subiu?
"1,78E+30",1765999984741210.0,"1,70E+30","1,62E+30","1,57E+30","1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30",Sim
1765999984741210.0,"1,70E+30","1,62E+30","1,57E+30","1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",Não
"1,70E+30","1,62E+30","1,57E+30","1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,Sim
"1,62E+30","1,57E+30","1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30",Sim
"1,57E+30","1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29",Sim
"1,59E+30","1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30",Sim
"1,63E+30","1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30",Sim
"1,60E+30",158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30",Sim
158100004196167.0,1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",Não
1559000015258780.0,"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,Sim
"1,54E+30","1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,Sim
"1,50E+30",1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30",Não
1490999984741210.0,1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29",Sim
1440999984741210.0,1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",Não
1440999984741210.0,"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,Sim
"1,42E+30",1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29",Sim
1418000030517570.0,"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30",Sim
"1,36E+30","1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",Não
"1,32E+30","1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,Sim
"1,42E+30","1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",Não
"1,44E+30",140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,Sim
140600004196167.0,"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,Sim
"1,35E+30","1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30",Sim
"1,36E+29","1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30",Não
"1,41E+30","1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30",Sim
"1,47E+30","1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30",Não
"1,50E+30","1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30",Não
"1,53E+30",150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30",Não
150600004196167.0,1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30",Sim
1481999969482420.0,"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30",Sim
"1,58E+30","1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30",Sim
"1,51E+29","1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30",Sim
"1,52E+30",1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30",Não
1568000030517570.0,"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30",Não
"1,54E+29","1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30",Não
"1,55E+30","1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",Não
"1,58E+29",1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,Sim
1565999984741210.0,"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30",Não
"1,56E+30",16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30",Sim
16.25,1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30",Não
1565999984741210.0,"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30",Sim
"1,55E+30","1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",Não
"1,56E+30","1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,Sim
"1,55E+30","1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30",Não
"1,56E+30","1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29",Não
"1,54E+30","1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30",Sim
"1,49E+30","1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30",Não
"1,44E+30","1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30",Não
"1,52E+30","1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30",Sim
"1,56E+30","1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30",Sim
"1,60E+30","1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",Não
"1,65E+30","1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,Sim
"1,64E+30","1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30",Sim
"1,60E+30","1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",Não
"1,56E+30",163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,Sim
163700008392334.0,"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30",Não
"1,63E+30","1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30",Não
"1,59E+30","1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29",Não
"1,59E+30","1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30",Sim
"1,56E+30","1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",Não
"1,57E+30",16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,Sim
16.25,"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30",Sim
"1,63E+30","1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30",Não
"1,56E+29","1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",Não
"1,56E+30","1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,Sim
"1,59E+30","1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",Não
"1,55E+30","1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,Sim
"1,55E+30","1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30",Sim
"1,57E+30","1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30",Não
"1,58E+30",15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30",Não
15.75,"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30",Sim
"1,60E+30","1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29",Não
"1,67E+30",1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30",Sim
1643000030517570.0,"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30",Não
"1,60E+30","1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",Não
"1,51E+30","1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,Sim
"1,51E+29","1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,Sim
"1,44E+30","1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30",Sim
"1,45E+30",1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",Não
1481999969482420.0,"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,Não
"1,45E+30","1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,Sim
"1,46E+30","1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30",Não
"1,45E+30",15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30",Sim
15.0,"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29",Sim
"1,44E+30",140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30",Não
140600004196167.0,"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29",Não
"1,29E+30","1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29","1,42E+30",Sim
"1,38E+30","1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29","1,42E+30","1,46E+30",Sim
"1,35E+30","1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29","1,42E+30","1,46E+30","1,47E+30",Não
"1,34E+30","1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29","1,42E+30","1,46E+30","1,47E+30",1440999984741210.0,Sim
"1,39E+29","1,38E+30","1,38E+30","1,32E+30",1356999969482420.0,1359000015258780.0,"1,39E+30","1,41E+30",1418000030517570.0,1381999969482420.0,"1,41E+30","1,39E+30","1,40E+29","1,44E+30","1,43E+29","1,42E+30","1,46E+30","1,47E+30",1440999984741210.0,"1,40E+30",Não
